,beta_I=0.000,beta_I=0.211,beta_I=0.421,beta_I=0.632,beta_I=0.842,beta_I=1.053,beta_I=1.263,beta_I=1.474,beta_I=1.684,beta_I=1.895,beta_I=2.105,beta_I=2.316,beta_I=2.526,beta_I=2.737,beta_I=2.947,beta_I=3.158,beta_I=3.368,beta_I=3.579,beta_I=3.789,beta_I=4.000
X0=0.200,0.0,0.016875,0.0,0.125,0.023125,0.0,0.005625,0.0,0.009375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.031875,0.001875,0.125,0.0
X0=0.300,0.38625,0.26,0.004375,0.009375,0.125,0.136875,0.0,0.15125,0.01,0.5,0.125,0.38375,0.125,0.375,0.25625,0.379375,0.0,0.006875,0.130625,0.125
X0=0.400,0.26125,0.51,0.396875,0.514375,0.5025,0.51125,0.514375,0.4025,0.524375,0.654375,0.38499999999999995,0.2675,0.52,0.37875000000000003,0.505625,0.28437500000000004,0.5081249999999999,0.75,0.38875000000000004,0.636875
X0=0.500,0.995,0.760625,0.755,0.64125,0.6675,0.6168750000000001,0.655,0.63375,0.31125,0.52,0.620625,0.76,0.76375,0.7681250000000001,1.0,0.875,0.765,0.75,0.8825000000000001,0.6699999999999999
